,경도,위도,행정동코드
70407,126.563,35.4157,45790330
70408,126.628,35.5575,45790430
70409,126.627,35.5591,45790430
70410,126.664,35.5128,45790430
70412,126.489,35.4437,45790350
70413,126.743,35.5374,45790410
70414,126.644,35.3552,45790370
70415,126.738,35.4778,45790420
70416,126.701,35.4935,45790420
70417,126.553,35.5249,45790390
70418,126.606,35.482,45790320
70419,126.634,35.4403,45790320
70420,126.496,35.5068,45790360
70421,126.537,35.4646,45790360
70422,126.535,35.4648,45790360
70423,126.7,35.5189,45790400
70424,126.606,35.4828,45790320
70425,126.632,35.4402,45790320
70426,126.663,35.5127,45790430
70427,126.699,35.5179,45790400
70428,126.712,35.4381,45790250
70429,126.714,35.4363,45790250
70430,126.711,35.4372,45790250
70431,126.713,35.4338,45790250
70432,126.705,35.4327,45790250
70433,126.696,35.4335,45790250
70434,126.703,35.433,45790250
70435,126.699,35.4397,45790250
70436,126.71,35.4364,45790250
70437,126.705,35.4349,45790250
70438,126.702,35.4362,45790250
70439,126.713,35.4359,45790250
70440,126.713,35.4352,45790250
70441,126.697,35.436,45790250
70442,126.699,35.4373,45790250
70443,126.685,35.4039,45790310
70444,126.702,35.4354,45790250
70445,126.704,35.4349,45790250
70446,126.705,35.4367,45790250
70447,126.694,35.4421,45790250
70448,126.688,35.4421,45790250
70449,126.711,35.4328,45790250
70450,126.698,35.4303,45790250
70451,126.697,35.4295,45790250
70452,126.706,35.4325,45790250
70453,126.699,35.43,45790250
70458,126.698,35.4417,45790250
70459,126.698,35.4408,45790250
70460,126.698,35.4273,45790250
70461,126.699,35.4418,45790250
70462,126.698,35.4411,45790250
70463,126.741,35.431,45790250
72775,127.317,35.5036,45750355
72776,127.298,35.6577,45750380
72777,127.15,35.5537,45750390
72778,127.105,35.5495,45750390
72779,127.313,35.5763,45750355
72780,127.178,35.6045,45750320
72781,127.332,35.5068,45750355
72782,127.268,35.7201,45750380
72783,127.282,35.5206,45750370
72784,127.321,35.6023,45750340
72785,127.208,35.6918,45750360
72786,127.198,35.6118,45750320
72787,127.279,35.6992,45750380
72788,127.211,35.6334,45750330
72789,127.245,35.6011,45750250
72790,127.36,35.5883,45750410
72791,127.181,35.5147,45750400
72792,127.245,35.4933,45750370
72793,127.16,35.701,45750360
72794,127.124,35.5919,45750320
72795,127.287,35.6125,45750250
73484,127.388,35.983,45720400
73485,127.397,35.9796,45720400
73508,127.427,35.7748,45720250
73509,127.425,35.7778,45720250
73510,127.44,35.8546,45720390
73511,127.371,35.9602,45720400
73512,127.416,35.9705,45720400
73513,127.4,35.9831,45720400
73514,127.401,35.9803,45720400
73517,127.388,35.9843,45720400
73518,127.416,35.9746,45720400
73519,127.415,35.9763,45720400
73520,127.409,35.9759,45720400
73521,127.411,35.9762,45720400
73522,127.523,35.952,45720310
73523,127.523,35.9471,45720310
73524,127.362,35.8362,45720380
73525,127.323,35.8076,45720380
73527,127.427,35.7881,45720250
73528,127.568,35.8382,45720330
73529,127.575,35.8415,45720330
73530,127.403,35.7567,45720370
73531,127.393,35.7569,45720370
73532,127.393,35.7568,45720370
73533,127.414,35.7592,45720370
73534,127.413,35.7673,45720250
73535,127.415,35.7667,45720250
73705,127.024,35.8331,45710330
73836,127.158,35.9303,45710253
73857,127.025,35.835,45710330
73858,127.032,35.8408,45710330
73859,127.047,35.8361,45710330
73860,127.122,35.7299,45710350
73861,127.025,35.8404,45710330
73862,127.163,35.9264,45710253
73863,127.035,35.8477,45710330
73874,127.054,35.8407,45710330
73886,127.055,35.8337,45710330
73891,127.023,35.8315,45710330
73892,127.023,35.8289,45710330
73893,127.055,35.8362,45710330
73894,127.039,35.834,45710330
73895,127.057,35.8332,45710330
73896,127.068,35.9037,45710250
73897,127.16,35.9286,45710253
73898,127.165,35.936,45710253
73899,127.517,35.6491,45740250
73903,127.069,35.9037,45710250
73904,127.158,35.9317,45710253
73905,127.157,35.9312,45710253
73906,127.157,35.9309,45710253
73907,127.018,35.831,45710330
73908,127.021,35.8311,45710330
76078,127.656,36.0121,45730250
76079,127.656,36.0088,45730250
76183,126.711,35.4366,45790250
76184,126.711,35.4361,45790250
76185,126.642,35.4085,45790310
76186,126.635,35.4388,45790320
76187,126.672,35.5118,45790430
76201,126.701,35.5221,45790400
76202,126.698,35.5183,45790400
76203,126.679,35.4089,45790310
76204,126.543,35.4563,45790360
76205,126.542,35.4583,45790360
76206,126.542,35.4586,45790360
76207,126.542,35.4571,45790360
76208,126.542,35.4575,45790360
76209,126.492,35.4438,45790350
76210,126.718,35.4887,45790420
76211,126.738,35.5149,45790410
76212,126.716,35.4368,45790250
76213,126.716,35.4353,45790250
